,flight_id,dep,dep_time,arr_time
0,0,2,5766,8117
1,1,1,1834,2448
2,2,1,5737,7921
3,3,0,6570,7539
4,4,2,659,1481
5,5,1,3722,5659
6,6,0,3544,6842
7,7,1,1423,4420
8,8,1,2678,5718
9,9,1,6415,7921
10,10,2,1723,3455
11,11,1,5664,7215
12,12,2,841,2033
13,13,1,676,1644
14,14,2,1615,5133
15,15,2,4692,7190
16,16,0,1182,4634
17,17,1,6636,9090
18,18,2,1886,4277
19,19,0,5831,8906
20,20,2,680,1503
21,21,0,3482,4212
22,22,1,2258,3142
23,23,0,4410,6161
24,24,0,7127,8886
25,25,1,4543,6490
26,26,0,972,3875
27,27,2,2171,5041
28,28,1,5670,7310
29,29,2,38,1423
30,30,0,3102,4521
31,31,0,4031,6847
32,32,1,2625,4457
33,33,1,6375,7521
34,34,1,2319,3710
35,35,1,7046,9277
